ID# ; Time ; State of Charge (BMS)/% ; Available Charge Power/kW ; Available Disharge Power/kW ; Battery Current/A ; Battery Voltage/V ; Battery Max Temp/°C ; Battery Min Temp/°C ; Battery Module 1 Temp/°C ; Battery Module 2 Temp/°C ; Battery Module 3 Temp/°C ; Battery Module 4 Temp/°C ; Battery Module 5 Temp/°C ; Battery Inlet Temp/°C ; Max Cell Voltage/V ; Max Cell Voltage No. ; Min Cell Voltage/V ; Min Cell Voltage No. ; Fan Status ; Fan Feedback Signal ; Auxiliary Battery Voltage/V ; Cumulative Charge Current/Ah ; Cumulative Disharge Current/Ah ; Cumulative Charge Power/kWh ; Cumulative Disharge Power/kWh ; Cumulative Operating Time/Days ; Inverter Capacitor Voltage/V ; Drive Motor Speed 1/RPM ; Drive Motor Speed 2/RPM ; Isolation Resistance/kOhms; BCV1 ; BCV2 ; BCV3 ; BCV4; BCV5; BCV6; BCV7; BCV8; BCV9; BCV10; BCV11; BCV12; BCV13; BCV14; BCV15; BCV16; BCV17; BCV18; BCV19; BCV20; BCV21; BCV22; BCV23; BCV24; BCV25; BCV26; BCV27; BCV28; BCV29; BCV30; BCV31; BCV32; BCV33; BCV34; BCV35; BCV36; BCV37; BCV38; BCV39; BCV40; BCV41; BCV42; BCV43; BCV44; BCV45; BCV46; BCV47; BCV48; BCV49; BCV50; BCV51; BCV52; BCV53; BCV54; BCV55; BCV56; BCV57; BCV58; BCV59; BCV60; BCV61; BCV62; BCV63; BCV64; BCV65; BCV66; BCV67; BCV68; BCV69; BCV70; BCV71; BCV72; BCV73; BCV74; BCV75; BCV76; BCV77; BCV78; BCV79; BCV80; BCV81; BCV82; BCV83; BCV84; BCV85; BCV86; BCV87; BCV88; BCV89; BCV90; BCV91; BCV92; BCV93; BCV94; BCV95; BCV96; Battery Module 6 Temp/°C; Battery Max Temp 2 /°C; Battery Min Temp 2 /°C; Battery Module 7 Temp/°C; Battery Module 8 Temp/°C; Battery Module 9 Temp/°C;Battery Module 10 Temp/°C; Available Charge Power2 /kW; Available Disharge Power2 /kW ; Cell Voltage Deviation; QCNS; Airbag H/wire Duty/%; Battery Heater 1 Temp/°C; Battery Heater 2 Temp/°C; State of Health (SOH)/%; Max Deterioration Cell no. ; Min Dererioration/%; Min Deterioration Cell no.; State of Chage (SOC) Display/%
0;2020-12-15 18:17:47;93.0;86.78;98.0;2.8;395.8;29;28;28;28;28;28;29;28;4.12;17;4.12;1;0;0;14.4;12266.1;12226.8;4480.7;4394.7;100.63;396;0;0;1000;4.1;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;28;28;29;28;28;28;29;86.78;98.0;0;1;80;0;0;100.0;46;100.0;1;97.5;
1;2020-12-15 18:17:58;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;4.1;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.1;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;28;28;29;28;28;28;29;86.78;98.0;0;1;75;0;0;100.0;46;100.0;1;97.5;
2;2020-12-15 18:18:09;93.0;87.12;98.0;25.0;394.6;29;28;29;28;28;28;29;28;4.1;61;4.1;10;0;0;13.0;12266.1;12226.8;4480.7;4394.7;100.63;394;1400;1400;1000;4.1;4.1;4.1;4.1;4.1;4.1;4.1;4.1;4.1;4.1;4.1;4.1;4.1;4.1;4.1;4.1;4.1;4.1;4.1;4.1;4.1;4.1;4.1;4.1;4.1;4.1;4.1;4.1;4.1;4.1;4.1;4.1;4.1;4.1;4.1;4.1;4.1;4.1;4.1;4.1;4.1;4.1;4.1;4.1;4.1;4.1;4.1;4.1;4.1;4.1;4.1;4.1;4.1;4.1;4.1;4.1;4.1;4.1;4.1;4.1;4.1;4.1;4.1;4.1;4.1;4.1;4.1;4.1;4.1;4.1;4.1;4.1;4.1;4.1;4.1;4.1;4.1;4.1;4.1;4.1;4.1;4.1;4.1;4.1;4.1;4.1;4.1;4.1;4.1;4.1;4.1;4.1;4.1;4.1;4.1;4.1;28;28;29;28;28;28;29;87.12;98.0;0;1;75;0;0;100.0;46;100.0;1;97.5;
3;2020-12-15 18:18:21;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;28;28;29;28;28;28;29;87.12;98.0;0;1;75;0;0;100.0;46;100.0;1;97.5;
4;2020-12-15 18:18:32;93.0;87.12;98.0;6552.7;395.7;29;28;29;28;28;28;29;28;4.12;73;4.1;1;0;0;12.9;12266.1;12226.9;4480.7;4394.7;100.63;396;1600;1600;1000;4.1;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.1;4.1;4.1;4.1;4.1;4.1;4.1;4.1;4.1;4.1;4.1;4.1;4.1;4.1;4.1;4.1;4.1;4.1;4.1;4.1;4.1;4.1;4.1;4.1;4.1;4.1;4.1;4.1;4.1;4.1;4.1;4.1;28;28;29;28;28;28;29;87.12;98.0;0;1;80;0;0;100.0;46;100.0;1;97.5;
5;2020-12-15 18:18:43;93.0;87.46;98.0;6546.8;395.8;29;28;28;28;28;28;29;28;4.12;89;4.1;1;0;0;13.0;12266.1;12227.0;4480.7;4394.7;100.63;396;2200;2200;1000;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;28;28;29;28;28;28;29;87.12;98.0;0;1;80;0;0;100.0;46;100.0;1;97.5;
6;2020-12-15 18:18:54;93.0;87.12;98.0;2.1;395.6;29;28;28;28;28;28;29;28;4.12;46;4.1;1;0;0;13.2;12266.1;12227.0;4480.7;4394.7;100.63;396;1300;1300;1000;4.1;4.1;4.1;4.1;4.1;4.1;4.1;4.1;4.1;4.1;4.1;4.1;4.1;4.1;4.1;4.1;4.1;4.1;4.1;4.1;4.1;4.1;4.1;4.1;4.1;4.1;4.1;4.1;4.1;4.1;4.1;4.1;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;4.1;4.1;4.1;4.1;4.1;4.1;4.1;4.1;4.1;4.1;4.1;4.1;4.1;4.1;4.1;4.1;4.1;4.1;4.1;4.1;4.1;4.1;4.1;4.1;4.1;4.1;4.1;4.1;4.1;4.1;4.1;4.1;28;28;29;28;28;28;29;87.46;98.0;0;1;75;0;0;100.0;46;100.0;1;97.5;
7;2020-12-15 18:19:05;93.0;87.46;98.0;25.3;394.1;29;28;29;28;28;28;29;28;4.1;61;4.1;1;0;0;12.5;12266.1;12227.0;4480.7;4394.8;100.63;394;2500;2500;1000;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;4.1;4.1;4.1;4.1;4.1;4.1;4.1;4.1;4.1;4.1;4.1;4.1;4.1;4.1;4.1;4.1;4.1;4.1;4.1;4.1;4.1;4.1;4.1;4.1;4.1;4.1;4.1;4.1;4.1;4.1;4.1;4.1;4.1;4.1;4.1;4.1;4.1;4.1;4.1;4.1;4.1;4.1;4.1;4.1;4.1;4.1;4.1;4.1;4.1;4.1;4.1;4.1;4.1;4.1;4.1;4.1;4.1;4.1;4.1;4.1;4.1;4.1;4.1;4.1;28;28;29;28;28;28;29;87.46;98.0;0;1;80;0;0;100.0;46;100.0;1;97.5;
8;2020-12-15 18:19:16;93.0;87.46;98.0;6541.8;396.3;29;28;28;28;28;28;29;28;4.12;14;4.12;1;0;0;14.4;12266.2;12227.1;4480.7;4394.8;100.63;396;700;700;1000;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.1;4.12;4.12;4.12;4.12;4.1;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;28;28;29;28;28;28;29;87.46;98.0;0;1;80;0;0;100.0;46;100.0;1;97.5;
9;2020-12-15 18:19:27;93.0;87.46;98.0;2.3;395.5;29;28;29;28;28;28;29;28;4.12;89;4.1;1;0;0;12.7;12266.2;12227.1;4480.7;4394.8;100.63;395;0;0;1000;4.1;4.12;4.12;4.12;4.12;4.1;4.12;4.12;4.12;4.1;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.1;4.12;4.12;4.12;4.12;4.1;4.12;4.1;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.1;4.12;4.12;4.12;4.12;4.12;4.1;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.1;4.1;4.12;4.12;4.12;4.1;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.12;4.1;4.1;4.1;4.12;4.1;4.1;4.1;4.1;4.1;4.1;4.12;4.1;4.12;4.12;4.12;4.12;4.12;4.1;4.1;4.1;4.12;4.1;28;28;29;28;28;28;29;87.46;98.0;0;1;80;0;0;100.0;46;100.0;1;97.5;
